County,Candidate,Party
ALBA,COROIU ADINA-RAFILA,PARTIDUL S.O.S. ROMÂNIA
ALBA,CHELU EUGEN-LIVIU,PATRIOȚII POPORULUI ROMÂN
ALBA,FÜLÖP SZABOLCS-SIMON,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,SZŐCS ILDICO,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,BONA ZSOLT-ÁRPÁD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,ADĂMESCU ANA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,MARIȘ COSMINA-MARIA,UNIUNEA SALVAȚI ROMÂNIA
ALBA,MĂRIE PETRU-CONSTANTIN,UNIUNEA SALVAȚI ROMÂNIA
ALBA,GIURGIU TÜNDE-RENÁTA,UNIUNEA SALVAȚI ROMÂNIA
ALBA,HORȘA IONUȚ,UNIUNEA SALVAȚI ROMÂNIA
ARAD,PAȘCA VASILE-DORIN,ALIANȚA NAȚIONAL CREȘTINĂ
ARAD,PARASCA TEOFIL,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,GALIȘ FLORIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,HĂNCILĂ ANA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,ILINCA DORIN-CĂTĂLIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,RĂDUCAN IONUȚ-DANIEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,COZMA COSMIN-VASILE,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ARAD,CIUCĂ RODICA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ARAD,TODEA ADINA,FORȚA DREPTEI

ARAD,OLARIU GABRIEL-FLORIN,FORȚA DREPTEI
ARAD,UIVĂRĂȘANU MARTA,FORȚA DREPTEI
ARAD,CÎRDAN LEONTIN-IOAN,FORȚA DREPTEI
ARAD,SĂRAC IOAN,FORȚA DREPTEI
ARAD,BOTA SILVIU-CORNEL,PARTIDUL LIGA ACȚIUNII NAȚIONALE
ARAD,LAZĂR LIVIU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,DICU ANCA-MIHAELA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,ARSA OVIDIU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,CHIROȘCA-MĂNESCU CORINA-LILIANA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,IGREȚ IOAN-FLOREDAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,VARGA GLAD-AUREL,PARTIDUL NAȚIONAL LIBERAL
ARAD,PAȘCA MIHAI,PARTIDUL NAȚIONAL LIBERAL
ARAD,FEIEȘ CRISTIAN,PARTIDUL NAȚIONAL LIBERAL
ARAD,CRIȘAN CORINA-ANKA,PARTIDUL NAȚIONAL LIBERAL
ARAD,CAZACU NICU-LUCIAN,PARTIDUL NAȚIONAL LIBERAL
ARAD,HERLO IOAN,PARTIDUL NOUA ROMÂNIE
ARAD,VOȘTINAR PAUL-MARCEL,PARTIDUL OAMENILOR TINERI
ARAD,PLAI MARIA-ADRIANA,PARTIDUL OAMENILOR TINERI
ARAD,STEPAN-TĂTARU CARMEN-DANIELA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ARAD,PAUL IOAN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,AFLOROAIE COSTEL-FLORINEL,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,SÎRBU DOREL,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,STANCU MIRELA,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,STEPANESCU PETRU,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,STANA IULIAN-OCTAVIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,POTOLIA GEANINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,POPA GABRIEL-MOISE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,CUC ROXANA LARISA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,BUN ADRIAN-DĂNUȚ,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,PISTRU EUSEBIU-MANEA,PARTIDUL SOCIAL DEMOCRAT
ARAD,DRAGOȘ SAMUEL,PARTIDUL SOCIAL DEMOCRAT
ARAD,GROȘAN EUGENIA,PARTIDUL SOCIAL DEMOCRAT
ARAD,ANDEA SIMEON-LAURENȚIU-AURELIAN,PARTIDUL SOCIAL DEMOCRAT

ARAD,DANCHICI IRINA-MARGARETA,PARTIDUL SOCIAL DEMOCRAT
ARAD,COVACI FLAVIUS-ANDREI,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,GUZEI FRANCISC,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,GÁBOR GÁBOR,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,DAIANU IZABELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,DINU DANIELA-CRISTINA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,CREVANOS PAUL-FLORIN,PARTIDUL SOCIAL DEMOCRAT UNIT
ARAD,PUȘCAȘU HORAȚIU-MIRCEA,PARTIDUL S.O.S. ROMÂNIA
ARAD,PĂTRĂȘCANU OVIDIU-RADU,PARTIDUL S.O.S. ROMÂNIA
ARAD,COSTEA EMIL-DĂNUȚ,PARTIDUL S.O.S. ROMÂNIA
ARAD,AMAFTIESEI ARABELA-CLARA,PARTIDUL S.O.S. ROMÂNIA
ARAD,KISS IOANA-RALUCA,PARTIDUL S.O.S. ROMÂNIA
ARAD,PASCAR OVIDIU-RĂZVAN,PATRIOȚII POPORULUI ROMÂN
ARAD,LELIK MIHAI-FRANCISC,ROMÂNIA SOCIALISTĂ
ARAD,INCICĂU VIOREL,ROMÂNIA SOCIALISTĂ
ARAD,ARDELEAN AURORA-ELENA,ROMÂNIA SOCIALISTĂ
ARAD,COVACI ADRIAN-CIPRIAN,ROMÂNIA SOCIALISTĂ
ARAD,MOLDOVAN OCTAVIAN,ROMÂNIA SOCIALISTĂ
ARAD,PAUTĂ RĂZVAN,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
ARAD,PERO TAMAS-CAROL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARAD,BALTA IRINA-EMESE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARAD,BIRO ZOLTAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARAD,FEKETE REKA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARAD,FEKETE CAROL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARAD,ANGHEL RAZVAN-PAUL,UNIUNEA SALVAȚI ROMÂNIA
ARAD,FILIP EUGEN-DORIN,UNIUNEA SALVAȚI ROMÂNIA
ARAD,STANOIEVICI FILIP,UNIUNEA SALVAȚI ROMÂNIA
ARAD,RĂPCĂU DANIEL-IOAN,UNIUNEA SALVAȚI ROMÂNIA
ARAD,SZABADAI MARIA,UNIUNEA SALVAȚI ROMÂNIA
ARGEŞ,TOADER DRAGOȘ-MIHAIL,ALIANȚA NAȚIONAL CREȘTINĂ
ARGEŞ,MARIN FLORENȚA-CONSTANȚA,ALIANȚA NAȚIONAL CREȘTINĂ
ARGEŞ,ILIESCU AURA,ALIANȚA NAȚIONAL CREȘTINĂ
ARGEŞ,CHELARU MIRCIA,ALIANȚA PENTRU UNIREA ROMÂNILOR

ARGEŞ,DUMITRACHE ION,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARGEŞ,VLADU FLORENTINA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARGEŞ,CUT SORIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARGEŞ,RĂCEANU ELENA-MĂDĂLINA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARGEŞ,ROȘU IONELA-ANDREEA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARGEŞ,COJOCARU-DRĂGULEANU IOANA-LAURA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
ARGEŞ,CHITIC DANIEL-MARIUS,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
ARGEŞ,ANDREI FLORIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ARGEŞ,ION CRISTINEL-RELIU,FORȚA DREPTEI
ARGEŞ,ANCA MARIAN,FORȚA DREPTEI
ARGEŞ,PREDESCU ION,FORȚA DREPTEI
ARGEŞ,PETRE IONELA,FORȚA DREPTEI
ARGEŞ,ȘUTAN GHERGHINA,FORȚA DREPTEI
ARGEŞ,HĂLOIU ALIN-ILIE,FORȚA DREPTEI
ARGEŞ,ENE VALENTIN,PARTIDUL DREPTĂȚII
ARGEŞ,HERA NATALICA,PARTIDUL DREPTĂȚII
ARGEŞ,MIU VIORICA,PARTIDUL ECOLOGIST ROMÂN
ARGEŞ,CHIRIAC ANDREI-GHEORGHE,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARGEŞ,GHEORGHE ALINA-NICOLETA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARGEŞ,STANCU FLORICA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARGEŞ,COTEȚ MIHAI,PARTIDUL NAȚIONAL LIBERAL
ARGEŞ,BICA DĂNUȚ,PARTIDUL NAȚIONAL LIBERAL
ARGEŞ,MANEA ALINA-RAMONA,PARTIDUL NAȚIONAL LIBERAL
ARGEŞ,TUDOR GHEORGHE-GABRIEL,PARTIDUL NAȚIONAL LIBERAL
ARGEŞ,NICOLAE LIVIU,PARTIDUL NAȚIONAL LIBERAL
ARGEŞ,VOICA COSTEL,PARTIDUL NAȚIONAL LIBERAL
ARGEŞ,IVAN CONSTANTIN-DANIEL,PARTIDUL NOUA ROMÂNIE
ARGEŞ,DUMITRU MIHAI,PARTIDUL OAMENILOR TINERI
ARGEŞ,MIHAI ALEXANDRU-LUCIAN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ARGEŞ,CIOABĂ CRISTIAN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ARGEŞ,VLĂDESCU MARIA-CLAUDIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ARGEŞ,SORICĂ IOANA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ARGEŞ,GHEORGHE ION,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI

ARGEŞ,GHERZAN CĂTĂLIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARGEŞ,MĂRTĂU FLORIN-CIPRIAN-LAURENȚIU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARGEŞ,TOADER GEORGE-ALIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARGEŞ,PETRE LAVINIA-LILIANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARGEŞ,PUIU OVIDIU,PARTIDUL SOCIAL DEMOCRAT
ARGEŞ,STOCHECI CRISTINA-MARIANA,PARTIDUL SOCIAL DEMOCRAT
ARGEŞ,DIDEA IONEL,PARTIDUL SOCIAL DEMOCRAT
ARGEŞ,POPA ELENA-CRISTINA,PARTIDUL SOCIAL DEMOCRAT
ARGEŞ,PUIU MARIUS-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT
ARGEŞ,MÎNZÎNĂ ION,PARTIDUL SOCIAL DEMOCRAT
ARGEŞ,BISTREANU DAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARGEŞ,OIȚĂ DĂNUȚ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARGEŞ,BUCUR MARIUS-FLORINEL,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARGEŞ,POPA RĂZVAN-FLORIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARGEŞ,OIȚĂ ALINA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARGEŞ,ROȘU MIHAELA-GABRIELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARGEŞ,MITROI TIBERIU-FLORENTIN,PARTIDUL SOCIAL DEMOCRAT UNIT
ARGEŞ,SOCOL CRISTIAN-TONI,PARTIDUL SOCIAL DEMOCRAT UNIT
ARGEŞ,NEDELCU LAURENȚIU,PARTIDUL SOCIAL DEMOCRAT UNIT
ARGEŞ,TUFĂ ALEXANDRU-VALENTIN,PARTIDUL SOCIAL DEMOCRAT UNIT
ARGEŞ,TUFĂ PETRICĂ,PARTIDUL SOCIAL DEMOCRAT UNIT
ARGEŞ,MITROI MARIANA-GABRIELLA,PARTIDUL SOCIAL DEMOCRAT UNIT
ARGEŞ,FULGA MARIAN,PARTIDUL S.O.S. ROMÂNIA
ARGEŞ,DUMITRESCU MARIUS,PARTIDUL S.O.S. ROMÂNIA
ARGEŞ,NEAGOE MONICA-IOANA,PARTIDUL S.O.S. ROMÂNIA
ARGEŞ,PIETRĂREANU NICOLAE-DĂNUȚ,PARTIDUL S.O.S. ROMÂNIA
ARGEŞ,NEDELEA SĂNDIȚA,PARTIDUL S.O.S. ROMÂNIA
ARGEŞ,POPA CATALIN-VIOREL,PARTIDUL S.O.S. ROMÂNIA
ARGEŞ,NEACȘU BOGDAN-NICOLAE,PARTIDUL UNIUNEA GETO-DACILOR
ARGEŞ,CĂLIN MARIAN,PARTIDUL UNIUNEA GETO-DACILOR
ARGEŞ,MARINESCU IOANA-ANDREEA,PARTIDUL UNIUNEA GETO-DACILOR
ARGEŞ,MIHAI MARIAN,PARTIDUL UNIUNEA GETO-DACILOR
ARGEŞ,BĂLAN SORIN,PATRIOȚII POPORULUI ROMÂN

ARGEŞ,ROTARU GHEORGHE,ROMÂNIA SOCIALISTĂ
ARGEŞ,BERTA RAMONA-CORINA,ROMÂNIA SOCIALISTĂ
ARGEŞ,DRUGĂU VIOREL,ROMÂNIA SOCIALISTĂ
ARGEŞ,NECULA CONSTANDIN,ROMÂNIA SOCIALISTĂ
ARGEŞ,DEACU FLORIAN,ROMÂNIA SOCIALISTĂ
ARGEŞ,VOICU FLORINA-IZABELA,ROMÂNIA SOCIALISTĂ
ARGEŞ,POENARU OANA-CĂTĂLINA,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
ARGEŞ,PAMPEL RÉKA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARGEŞ,IGYÁRTÓ RÉKA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARGEŞ,TAMÁSI ZSOLT-JÓZSEF,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARGEŞ,BARTA ZOLTÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ARGEŞ,MIRCESCU ION-NARCIS,UNIUNEA SALVAȚI ROMÂNIA
ARGEŞ,VLAICU BOGDAN,UNIUNEA SALVAȚI ROMÂNIA
ARGEŞ,CREȚU RODICA,UNIUNEA SALVAȚI ROMÂNIA
ARGEŞ,MARCU IOANA,UNIUNEA SALVAȚI ROMÂNIA
ARGEŞ,FULGER ELENA-MANUELA,UNIUNEA SALVAȚI ROMÂNIA
ARGEŞ,STAN FLOREA,UNIUNEA SALVAȚI ROMÂNIA
BACĂU,POPA IOAN,ALIANȚA NAȚIONAL CREȘTINĂ
BACĂU,SEVERIN MIHAI,ALIANȚA NAȚIONAL CREȘTINĂ
BACĂU,ȘTEFĂNESCU DANIELA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BACĂU,AURAȘ RELU,ALIANȚA PENTRU UNIREA ROMÂNILOR
BACĂU,ȘTEFAN DANIEL-DRAGOȘ,ALIANȚA PENTRU UNIREA ROMÂNILOR
BACĂU,COȘA MARICICA-LUMINIȚA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BACĂU,GHEORGHIȚĂ MARIUS-GABRIEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
BACĂU,FILIP LIVIU-CONSTANTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BACĂU,BOBAN DAN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BACĂU,CIORTAN CONSTANTIN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BACĂU,MUNTEANU ANDREEA-MARIA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BACĂU,GRIGOROAIA CORNEL-VIOREL,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BACĂU,ROTARU CIPRIAN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BACĂU,DEDULEASĂ GEORGE-LUCIAN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BACĂU,CANEA MIHAELA-CARMEN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BACĂU,GHINEȚ FLORIN-VASILE,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI

BACĂU,CIOBANU-HARHAS CRISTIAN-COSMIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BACĂU,CIBOTARU ALEXANDRU,FORȚA DREPTEI
BACĂU,GHERASIM CONSTANTIN,FORȚA DREPTEI
BACĂU,IGNAT NICU-CODRIN,FORȚA DREPTEI
BACĂU,POPOVICI ROBERTA,FORȚA DREPTEI
BACĂU,HARIGA RADU-LUCIAN,FORȚA DREPTEI
BACĂU,SÂRBU NICU-IULIAN,FORȚA DREPTEI
BACĂU,TABARCEA OLTIȚA,PARTIDUL ECOLOGIST ROMÂN
BACĂU,ȚUCĂ GEORGE-VLAD,PARTIDUL LIGA ACȚIUNII NAȚIONALE
BACĂU,BURSUC VALENTIN-GABRIEL,PARTIDUL LIGA ACȚIUNII NAȚIONALE
BACĂU,LUPU CRISTINA-ALINA,PARTIDUL LIGA ACȚIUNII NAȚIONALE
BACĂU,LUCACI MIHAI,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BACĂU,CAPRARU PAVEL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BACĂU,MĂRTINAȘ ASTRID-ROBERTA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BACĂU,ANDRICI IOAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BACĂU,ROMAN GICĂ,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BACĂU,FENECHIU CĂTĂLIN-DANIEL,PARTIDUL NAȚIONAL LIBERAL
BACĂU,CONSTANTIN TOMA,PARTIDUL NAȚIONAL LIBERAL
BACĂU,CRISTEA TINA-OANA,PARTIDUL NAȚIONAL LIBERAL
BACĂU,NĂSTASE MARIA-RALUCA,PARTIDUL NAȚIONAL LIBERAL
BACĂU,STOICAN IULIAN-VASILE,PARTIDUL NAȚIONAL LIBERAL
BACĂU,MIHĂILĂ DAN-GHEORGHE,PARTIDUL NAȚIONAL LIBERAL
BACĂU,CONDREA RĂZVAN-COSTEL,PARTIDUL NOUA ROMÂNIE
BACĂU,PATRAȘCU GABRIEL-FLORIN,PARTIDUL OAMENILOR TINERI
BACĂU,SIMION MARICICA,PARTIDUL PATRIA
BACĂU,GABOR VALENTIN,PARTIDUL PATRIA
BACĂU,MUNTEANU PETRONEL,PARTIDUL PATRIA
BACĂU,BEȚA MIHAI-ANDREI,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BACĂU,TĂNASE ELENA-ROXANA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BACĂU,MOTOC MARIUS-COSMIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BACĂU,FLOROIU IONEL,PARTIDUL SOCIAL DEMOCRAT
BACĂU,PRODAN PAUL-GEORGE,PARTIDUL SOCIAL DEMOCRAT
BACĂU,EGARMIN ANA-MARIA,PARTIDUL SOCIAL DEMOCRAT

BACĂU,CONSTANTIN ȘTEFAN,PARTIDUL SOCIAL DEMOCRAT
BACĂU,DROIMAN ALEXANDRU-NORBERT,PARTIDUL SOCIAL DEMOCRAT
BACĂU,SANDU IONELA,PARTIDUL SOCIAL DEMOCRAT
BACĂU,RUSE MIHAI,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BACĂU,BOBOC MARCELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BACĂU,MARCHIDAN MARINICĂ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BACĂU,BOLOGEANU FLORIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BACĂU,STOICA LUCICA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BACĂU,UNGUREANU CIPRIAN-COSTEL,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BACĂU,BALINT ADRIAN,PARTIDUL SOCIAL DEMOCRAT UNIT
BACĂU,GORGAN-BEJAN MARIA,PARTIDUL SOCIAL DEMOCRAT UNIT
BACĂU,TALABĂ DANIELA,PARTIDUL SOCIAL DEMOCRAT UNIT
BACĂU,DAVID CRISTIAN-ALEXANDRU,PARTIDUL SOCIAL DEMOCRAT UNIT
BACĂU,VÂRGĂ IOAN,PARTIDUL S.O.S. ROMÂNIA
BACĂU,NEICUȚESCU IONELA-CORINA,PARTIDUL S.O.S. ROMÂNIA
BACĂU,CATANA MIHAI,PARTIDUL S.O.S. ROMÂNIA
BACĂU,SPĂTARIU DANIELA,PARTIDUL S.O.S. ROMÂNIA
BACĂU,POPA GHEORGHE,PARTIDUL S.O.S. ROMÂNIA
BACĂU,ARDELEANU MIHAI,PARTIDUL S.O.S. ROMÂNIA
BACĂU,MATEI ALEXANDRU-LAURENȚIU,PATRIOȚII POPORULUI ROMÂN
BACĂU,BOLEA MIRUNA-MIOARA,PATRIOȚII POPORULUI ROMÂN
BACĂU,IONESCU ELENA,ROMÂNIA SOCIALISTĂ
BACĂU,RĂDUCAN MARIUS-CĂTĂLIN,ROMÂNIA SOCIALISTĂ
BACĂU,BELCIU MĂDĂLINA-CRISTINA,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BACĂU,COJAN BEBI,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BACĂU,BILIBOK RÓBERT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BACĂU,SZŐCS PÁL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BACĂU,CÂTEA IULIAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BACĂU,ARAMĂ ROXANA-MARIA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BACĂU,ANTAL CRISTINEL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BACĂU,CERNIC SEBASTIAN,UNIUNEA SALVAȚI ROMÂNIA
BACĂU,POPESCU-GAGIU ȘTEFANA,UNIUNEA SALVAȚI ROMÂNIA
BACĂU,VRABIE OVIDIU-DAN,UNIUNEA SALVAȚI ROMÂNIA

BACĂU,CIOBANU ALEXANDRU,UNIUNEA SALVAȚI ROMÂNIA
BACĂU,IFTIME MIHĂIȚĂ-CLAUDIU,UNIUNEA SALVAȚI ROMÂNIA
BACĂU,TAMAȘ CLAUDIU-VASILE,UNIUNEA SALVAȚI ROMÂNIA
